# IPBES Oceania
# Australia
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
148.1672148 -42.01226735
148.14116988 -42.06983489
148.15625939 -42.08833506
148.1275273 -42.10373463
148.06654911 -42.17029388
148.02272749 -42.25943572
148.00484745 -42.34516692
148.00939497 -42.43591074
147.97353153 -42.50588063
147.92443892 -42.57243987
147.91213993 -42.65853281
147.91503381 -42.81640431
147.95771854 -42.9604782
147.98086958 -43.15705535
147.94541955 -43.18186004
147.83855269 -43.19508921
147.78584273 -43.22004892
147.69892297 -43.12258717
147.64797001 -43.02057789
147.68734745 -42.97990854
147.77395715 -43.00342132
147.80041548 -42.9802186
147.80744348 -42.95407033
147.80000207 -42.92807708
147.69344527 -42.87200815
147.573866 -42.84570485
147.53583215 -42.87800262
147.54906131 -42.97448252
147.53676232 -42.996445
147.45232303 -43.03339365
147.40798465 -42.89381561
147.29791385 -42.79087615
147.30194461 -42.84048553
147.34762658 -42.92652679
147.34266564 -42.96440561
147.3249923 -43.01349822
147.28075728 -43.03174
147.25977665 -43.07111745
147.25977665 -43.1264629
147.24499719 -43.21591481
147.17285689 -43.25591237
146.99695031 -43.15638356
146.98485803 -43.18981821
146.9875452 -43.21875701
147.07735884 -43.27591115
147.03591434 -43.31900929
147.00470178 -43.3696522
146.95467899 -43.50246063
146.8739604 -43.61247975
146.8342729 -43.61935272
146.69919071 -43.60198943
146.54850223 -43.5088685
146.41321333 -43.51956553
146.18676721 -43.51279591
146.04310672 -43.54716074
146.01313439 -43.4448414
145.98171512 -43.40835784
145.99442753 -43.37606007
146.10873579 -43.35440765
146.22635135 -43.35528615
146.2080579 -43.31616709
146.17643192 -43.30180104
146.12506555 -43.31120615
145.97530725 -43.27720306
145.87329797 -43.29239593
145.80270796 -43.24402679
145.6815784 -43.07597503
145.60995487 -42.99825368
145.56737349 -42.96797129
145.51755741 -42.95133148
145.48758508 -42.92663014
145.26816695 -42.54437957
145.23705773 -42.45559946
145.19881717 -42.23080698
145.37296675 -42.33850067
145.43487512 -42.40650685
145.46825809 -42.49285817
145.52727258 -42.38821339
145.51662723 -42.35446868
145.3603577 -42.22749969
145.33968713 -42.19075775
145.33110884 -42.14703948
145.29441857 -42.19096445
145.23488732 -42.19695892
145.25896854 -42.10730031
145.23819461 -42.0196054
145.0553634 -41.82674896
144.91552697 -41.64402109
144.77796431 -41.4188152
144.76607873 -41.3900831
144.76432173 -41.34150726
144.69776249 -41.19071543
144.66241581 -41.0789393
144.64608605 -40.98080576
144.70964807 -40.78288502
144.71853641 -40.67229746
144.81858198 -40.72164845
145.04296105 -40.78670908

148.23687463 -40.51509775
148.18778202 -40.5926124
148.12701053 -40.54398488
148.11729536 -40.52150563
148.19315637 -40.5031605
148.21837447 -40.50507252
148.23687463 -40.51509775

144.78437219 -40.50672617
144.74799198 -40.58940846
144.71016483 -40.48522877
144.75119592 -40.47024261
144.78344201 -40.43484425
144.79078006 -40.44037363
144.78437219 -40.50672617

148.32627486 -40.30694508
148.42073937 -40.3671998
148.4741728 -40.43241546
148.40399621 -40.48657236
148.35273319 -40.49721771
148.31945357 -40.43458587
148.21403364 -40.45753021
148.1025159 -40.45163909
148.02014367 -40.40420013
148.0104285 -40.38053232
148.05879764 -40.35686452
148.1981173 -40.35789804
148.32627486 -40.30694508

148.00040327 -39.75762461
148.1779635 -39.93849212
148.2700509 -39.96670745
148.29733605 -39.98572438
148.28989465 -40.06540944
148.25082726 -40.09951588
148.32327762 -40.14447438
148.31356245 -40.17351653
148.29940311 -40.17248301
148.21031294 -40.2336679
148.10561649 -40.26208994
148.07368045 -40.24079925
148.04691206 -40.21279062
148.02479455 -40.17196624
147.89053918 -40.01455983
147.90593876 -39.97135833
147.87627648 -39.90552256
147.81230106 -39.91048349
147.76723921 -39.87027923
147.8391728 -39.83152191
147.93301721 -39.72599863
148.00040327 -39.75762461

143.92799035 -40.11610402
143.89874149 -40.12018646
143.87579715 -40.0639625
143.88757938 -39.98355397
143.83859012 -39.90407562
143.86525516 -39.82418385
143.86184452 -39.73798756
143.8794145 -39.69995371
143.93935917 -39.6580958
143.94886763 -39.58368174
144.00075077 -39.58016774
144.09128788 -39.63804534
144.12095015 -39.78521982
144.10606734 -39.87399993
144.1410006 -39.95378834
144.11195845 -40.02210459
144.03506392 -40.07822519
143.92799035 -40.11610402

145.31446903 -38.49082855
145.34919559 -38.53821583
145.3550867 -38.55707773
145.27095747 -38.51976735
145.12843387 -38.52762217
145.2178341 -38.45858245
145.28790734 -38.47217335
145.31446903 -38.49082855

145.48655155 -38.35491953
145.33586307 -38.42096201
145.28025923 -38.39057627
145.28584029 -38.34101857
145.29534875 -38.31895273
145.42650353 -38.3141985
145.48655155 -38.35491953

137.59649051 -35.73864511
137.8359591 -35.76210622
137.92887333 -35.72603607
138.04659224 -35.75518157
138.12348677 -35.85233327
138.06653934 -35.90059905
138.01186568 -35.90762705
137.83554569 -35.86773284
137.67090458 -35.89791188
137.62222538 -35.93811614
137.59028934 -36.02710296
137.44838586 -36.07485198
137.38224002 -36.02090179
137.20953739 -35.98245452
137.14773238 -36.03909189
137.02587935 -36.02389902
136.91270796 -36.04663665
136.75509484 -36.03309743
136.58931685 -35.93532562
136.54063765 -35.89016041
136.57908491 -35.80871836
136.63871952 -35.74887705
137.09181848 -35.66381764
137.33407759 -35.59250416
137.53044803 -35.60506154
137.58491499 -35.62020273
137.63545454 -35.65647959
137.59814416 -35.72221201
137.59649051 -35.73864511

153.53877323 -27.43641286
153.45268029 -27.71174489
153.42653202 -27.70647389
153.39583622 -27.66508107
153.40090051 -27.50565928
153.43542036 -27.405407
153.52182336 -27.42246022
153.53877323 -27.43641286

153.44244836 -27.31605844
153.42084761 -27.33099293
153.37650923 -27.23539153
153.36503706 -27.13885996
153.37991988 -27.04945973
153.43231978 -27.02992604
153.46683963 -27.03809092
153.42632531 -27.20149179
153.44244836 -27.31605844

113.18299361 -26.05313812
113.15643192 -26.09447926
112.96429894 -25.78307708
112.90817834 -25.56986012
112.94703902 -25.53151621
112.9823857 -25.52025075
113.09628055 -25.81506479
113.13152388 -25.88260589
113.13183394 -25.95200734
113.1483704 -25.97386647
113.18299361 -26.05313812

153.07740604 -25.75083099
153.05198124 -25.77827117
153.00691939 -25.72892018
152.976637 -25.55135996
152.99906457 -25.44842051
153.05156782 -25.35426605
153.06076623 -25.30227955
153.03813195 -25.19313893
153.18923384 -25.07056243
153.22757775 -25.00576019
153.24204715 -24.92256113
153.18633996 -24.83264414
153.14375858 -24.81486745
153.18096561 -24.76484466
153.22313358 -24.73952321
153.25692997 -24.72887786
153.28214807 -24.73828297
153.29796105 -24.91522308
153.3592493 -24.97775156
153.35015425 -25.06312103
153.14138146 -25.51280934
153.08381392 -25.68251474
153.07740604 -25.75083099

151.14656782 -23.4908139
151.18077762 -23.5162387
151.21199019 -23.51313812
151.24010217 -23.52972625
151.2288367 -23.59489023
151.27431197 -23.66847747
151.29580936 -23.72036061
151.26149621 -23.7622702
151.23824182 -23.77575775
151.18418827 -23.74072112
151.03329308 -23.53019134
151.05995812 -23.46053151
151.14656782 -23.4908139

150.51673547 -22.32256479
150.48841678 -22.3247352
150.46237186 -22.30773366
150.48469608 -22.26783945
150.48841678 -22.21073699
150.5214897 -22.22835866
150.54877486 -22.30690683
150.51673547 -22.32256479

149.92834761 -22.19306365
149.89362105 -22.22319101
149.86953983 -22.1504306
149.87543094 -22.07400115
149.91232792 -22.04873138
149.9279342 -22.14929372
149.92834761 -22.19306365

115.44621463 -20.78782643
115.38813032 -20.8659612
115.31805708 -20.85056162
115.30854862 -20.81108082
115.35433394 -20.74627858
115.43453576 -20.66793711
115.45758345 -20.71630625
115.44621463 -20.78782643

149.04375044 -20.29152597
149.01987593 -20.30258473
148.98742313 -20.30175791
148.93884728 -20.28367116
148.98101525 -20.1535499
149.004373 -20.22145273
149.04530073 -20.27757334
149.04375044 -20.29152597

148.93553999 -20.14993255
148.91342248 -20.15432505
148.88686079 -20.14352467
148.90639448 -20.10197682
148.93161258 -20.0689039
148.96788944 -20.04430592
148.95621057 -20.13463633
148.93553999 -20.14993255

146.27833784 -18.23128997
146.29880171 -18.32606455
146.34200321 -18.4000652
146.32701704 -18.44864105
146.29880171 -18.48481455
146.23565311 -18.45075978
146.19131473 -18.36285817
146.1161772 -18.29237151
146.09881392 -18.25175384
146.18666385 -18.25516448
146.23089888 -18.24141855
146.24908898 -18.22591562
146.27833784 -18.23128997

139.45921919 -17.11456227
139.4217021 -17.13161549
139.40816288 -17.09058441
139.45921919 -17.04913991
139.49280887 -16.99043548
139.56009159 -17.04200856
139.57094364 -17.09440846
139.45921919 -17.11456227

139.50779504 -16.57299326
139.43059045 -16.6610499
139.39152307 -16.64864756
139.35431603 -16.69660329
139.28300256 -16.71944427
139.23907759 -16.71866912
139.15959924 -16.74166513
139.1476103 -16.71386321
139.16269982 -16.62590993
139.2287423 -16.527518
139.29292443 -16.46726328
139.45890913 -16.43853118
139.58789351 -16.39522633
139.60453332 -16.4031845
139.6977576 -16.51490895
139.55967818 -16.5294817
139.50779504 -16.57299326

137.09367883 -15.77810638
137.05089074 -15.82440846
136.99652713 -15.77583261
136.98505497 -15.72601653
136.94268029 -15.71175384
136.96335086 -15.66576181
136.98577844 -15.65242929
137.0095496 -15.59486175
137.06453332 -15.66286793
137.07104455 -15.73810882
137.09367883 -15.77810638

136.59097049 -15.62824472
136.53112919 -15.63237884
136.51428267 -15.62731455
136.50270715 -15.58307952
136.5225509 -15.54318532
136.58600956 -15.53372853
136.61236454 -15.54411549
136.59097049 -15.62824472

136.86268517 -15.61987314
136.84676883 -15.62731455
136.84563195 -15.54401214
136.87684452 -15.50256764
136.89017704 -15.58886728
136.86268517 -15.61987314

124.59728397 -15.40195363
124.55956017 -15.43016896
124.52421349 -15.421539
124.52369673 -15.38236826
124.482769 -15.34035532
124.50405969 -15.29245127
124.51935591 -15.26743987
124.55087853 -15.27033375
124.56452111 -15.31084808
124.60503544 -15.35653004
124.59728397 -15.40195363

125.19879764 -14.57952321
125.13482222 -14.64174163
125.09120731 -14.59171885
125.11735558 -14.49198333
125.15993697 -14.45601653
125.19817752 -14.47482676
125.19352665 -14.55265146
125.19879764 -14.57952321

136.71468387 -13.80385996
136.75798872 -13.84540781
136.80449751 -13.84251393
136.84532189 -13.75094329
136.87064335 -13.76365569
136.89079715 -13.78660003
136.90557661 -13.82690765
136.84294478 -13.89656748
136.81493615 -13.90731618
136.78816776 -13.94576344
136.74527632 -14.07262908
136.7499272 -14.11521046
136.78703088 -14.15784352
136.8854228 -14.19722096
136.9338953 -14.17903086
136.95074182 -14.18430185
136.93131148 -14.24600351
136.89431115 -14.29302907
136.76315637 -14.27339202
136.64967492 -14.28042002
136.46053918 -14.23453135
136.36328413 -14.22895029
136.33548221 -14.21179372
136.39222294 -14.17551686
136.42777632 -14.12642425
136.41113651 -14.0111858
136.42467573 -13.86488983
136.53381636 -13.79373138
136.58280562 -13.72112599
136.65566939 -13.67590911
136.70197147 -13.6816452
136.695977 -13.72619028
136.71468387 -13.80385996

136.23740034 -13.82453053
136.21373254 -13.83589935
136.12267866 -13.81657236
136.12226525 -13.78060556
136.13435754 -13.75316538
136.15957564 -13.7366806
136.21548954 -13.664747
136.2574508 -13.70660491
