# IPBES South_Asia
# Afghanistan
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
74.89132572 37.23162954
74.84021773 37.22506664
74.76735396 37.24917369
74.7389836 37.28563142
74.7266846 37.29074738
74.66896203 37.266692
74.55894291 37.23661632
74.3721326 37.15773225
74.37616336 37.13737173
74.49791304 37.05722158
74.52643843 37.0306599
74.54137292 37.02218496
74.43104374 36.98371186
74.19467573 36.89686962
74.03892297 36.82571117
74.00181929 36.82307567
73.90787154 36.85294465
73.76912031 36.88847219
73.73180993 36.88777456
73.41115767 36.88170258
73.11675703 36.86855093
72.99371545 36.85160106
72.76623579 36.83501293
72.62283369 36.8295869
72.53136641 36.80201752
72.43116581 36.76581818
72.32698612 36.74240876
72.24983321 36.73473481
72.15676395 36.70088675
72.09557905 36.63375906
71.92070601 36.53420441
71.82221073 36.48609365
71.77260135 36.4318334
71.71637739 36.4265624
71.62046594 36.43648428
71.54584517 36.3776765
71.46326623 36.29326305
71.31257775 36.17120331
71.23289269 36.12180065
71.18509199 36.04211559
71.22018029 36.00069693
71.34286014 35.93853018
71.39758548 35.88018749
71.42755781 35.83373037
71.48362674 35.7146162
71.5190251 35.5975174
71.57194177 35.54682282
71.58739302 35.46083324
71.60062219 35.40791657
71.57194177 35.37042532
71.54548343 35.32854157
71.54548343 35.28885407
71.57721276 35.24800385
71.60522139 35.21177867
71.62046594 35.18302074
71.60165571 35.15067129
71.54548343 35.10142365
71.5170614 35.05114248
71.45510135 34.96693574
71.35810469 34.90960073
71.29412927 34.86771699
71.22581302 34.77953115
71.11331343 34.68160432
71.06566776 34.59961966
71.01631677 34.55463532
70.96562219 34.53037324
70.97885135 34.48629324
71.02293135 34.43115449
71.09569177 34.36942699
71.09243615 34.27323131
71.08907718 34.2040624
71.09129927 34.12026907
71.05161177 34.04973074
70.84842004 33.98190542
70.6540133 33.95229483
70.41573327 33.95043448
70.32571293 33.96115733
70.2536243 33.97596263
69.99472538 34.05182364
69.88966719 34.00727855
69.86806644 33.897647
70.05663374 33.71985423
70.13414839 33.62073884
70.21972456 33.45467662
70.28416507 33.36904877
70.26116906 33.28902782
70.09022342 33.19810314
69.92010461 33.11247529
69.70368371 33.09472443
69.56772302 33.06415782
69.50157718 33.02005199
69.45315637 32.83282827
69.40458052 32.76427949
69.40540734 32.68270824
69.35946699 32.59031078
69.28991052 32.53057282
69.24143802 32.43355032
69.25657922 32.24945303
69.27931685 31.93681061
69.18691939 31.83810863
69.08310143 31.73845063
68.97339237 31.6673697
68.86900598 31.6342451
68.78229292 31.64644074
68.71366662 31.70803905
68.67325565 31.75971548
68.59760135 31.80296865
68.52065515 31.79415782
68.44324385 31.75447032
68.31978885 31.76769949
68.21395552 31.80738699
68.16103885 31.80296865
68.13018802 31.76328115
68.01717167 31.67796337
67.73987593 31.54817801
67.62670454 31.53877289
67.57823205 31.50647512
67.59755904 31.45330008
67.64706506 31.40996939
67.73346805 31.37924775
67.73786055 31.34395275
67.66148278 31.31299856
67.59637048 31.27767772
67.45286502 31.23463125
67.28729374 31.21783641
67.11593469 31.24292532
67.02772302 31.30026032
66.92431848 31.30563467
66.82928552 31.26367341
66.73135868 31.19455618
66.62418176 31.04606395
66.5958114 31.01996735
66.56682092 30.99655793
66.49736779 30.96457022
66.39716719 30.91219615
66.34688602 30.80277131
66.28688968 30.60792532
66.30094567 30.50299632
66.30544152 30.32114696
66.28182539 30.19345449
66.23841719 30.10963532
66.24720218 30.04348949
66.31334802 29.96853282
66.28688968 29.92000865
66.23123417 29.86572256
66.17707726 29.8355952
65.96158654 29.77890615
65.66625573 29.70131399
65.47097049 29.65157543
65.18044559 29.57762645
65.09548954 29.55948802
64.91891117 29.55277009
64.82728885 29.56416474
64.70357547 29.56713614
64.52110599 29.56450064
64.39372359 29.54432099
