# IPBES Caribbean
# Antigua and Barb.
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-61.71607235 17.03699657
-61.74816342 16.99715404
-61.85965532 17.01332876
-61.88205705 17.06314484
-61.88712134 17.09812979
-61.81725481 17.1689265
-61.73857744 17.13848908
-61.70821754 17.10505443
-61.68604835 17.09843985
-61.6864876 17.0698111
-61.69498837 17.04893382
-61.71607235 17.03699657

-61.74710405 17.57494823
-61.7620127 17.5486966
-61.84381649 17.59613557
-61.86875037 17.68543244
-61.86616655 17.70432018
-61.85244646 17.71406118
-61.81991614 17.69685293
-61.77674049 17.69049673
-61.74958452 17.66135122
-61.74710405 17.57494823


# Bahamas
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-73.02682899 21.19240184
-73.05873918 21.11902131
-73.16452084 20.97913321
-73.40078549 20.94388988
-73.661028 20.93737865
-73.68113013 20.97556753
-73.6867887 21.00913137
-73.66782345 21.06158295
-73.66958045 21.08220185
-73.68035499 21.10331167
-73.58506365 21.12594595
-73.5231036 21.19079987
-73.42450497 21.20175528
-73.30156674 21.15617666
-73.23536923 21.15447134
-73.13728736 21.20480419
-73.0584808 21.31337637
-73.01166195 21.29952709
-73.02682899 21.19240184

-72.91611223 21.5066979
-73.04933407 21.45760529
-73.06271827 21.51532787
-72.9947896 21.56162995
-72.91611223 21.5066979

-73.04101417 22.4290447
-72.97895077 22.41460114
-72.94520606 22.41563467
-72.83074276 22.38561066
-72.76260739 22.34437287
-72.74728533 22.32737132
-72.78387224 22.29062938
-72.88916297 22.36023754
-72.98106951 22.36922923
-73.11020891 22.36757559
-73.16188534 22.3807014
-73.12739132 22.45532217
-73.04101417 22.4290447

-74.20673113 22.21378653
-74.27690772 22.18371084
-74.26130144 22.23556814
-74.12678769 22.32339224
-74.05237362 22.40064851
-74.01007646 22.42798534
-73.99496111 22.44922435
-73.9359983 22.47774974
-73.9063877 22.52746247
-73.91455258 22.56802847
-73.97635759 22.6350528
-73.97547909 22.68228506
-73.95421424 22.71551301
-73.84995704 22.73106761
-73.87750058 22.68073477
-73.83652117 22.53841787
-73.97460059 22.36116771
-74.09291378 22.30623566
-74.20673113 22.21378653

-74.05754127 22.72349702
-74.03475196 22.70559113
-74.09857235 22.66543854
-74.24223284 22.7150996
-74.27460812 22.71168895
-74.30310767 22.76445059
-74.31398556 22.80354381
-74.30700924 22.83958812
-74.22145891 22.81157949
-74.17536353 22.75990306
-74.05754127 22.72349702

-74.84046505 22.8943393
-74.84689877 22.86868195
-74.97332516 23.06856639
-75.13212684 23.11709056
-75.2233099 23.16535635
-75.20442217 23.19271902
-75.1410927 23.20463044
-75.13057654 23.26793407
-75.15757748 23.3363795
-75.24124162 23.47458812
-75.2882155 23.56825165
-75.30981625 23.58982657
-75.31596575 23.66837474
-75.21659197 23.5467801
-75.1753025 23.438673
-75.10879493 23.33278799
-75.06419817 23.15021516
-74.93712582 23.08815176
-74.84558102 22.99988841
-74.84046505 22.8943393

-75.66457496 23.45014517
-75.70632952 23.44422822
-75.78100196 23.47066071
-75.95597836 23.59230703
-76.03711036 23.60279735
-76.01044532 23.67137198
-75.94864031 23.64739411
-75.80751197 23.54254263
-75.75423357 23.4899877
-75.66457496 23.45014517

-74.42943071 24.06804027
-74.50870236 23.95972647
-74.550922 23.96892487
-74.5269183 24.10509227
-74.47203793 24.12664134
-74.45048886 24.12550446
-74.42943071 24.06804027

-77.65773495 24.24947622
-77.65613298 24.22658356
-77.75524838 24.16348664
-77.68326311 24.11845063
-77.61538612 24.21635163
-77.56151343 24.1368216
-77.53200619 23.98763174
-77.53683794 23.96166433
-77.531877 23.93941763
-77.52133501 23.91084056
-77.51872535 23.86944774
-77.57370907 23.73917145
-77.77129391 23.75255565
-77.77576392 23.86236807
-77.80630469 23.88355541
-77.85224504 24.04039338
-77.91405006 24.09093293
-77.99991045 24.21981395
-77.95006853 24.25306774
-77.8835868 24.24198314
-77.84955787 24.25751191
-77.75741879 24.26991425
