# IPBES East_Africa_and_adjacent_islands
# Comoros
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
43.78867639 -12.30700042
43.85895633 -12.36828867
43.66361942 -12.34286386
43.63292362 -12.28767344
43.63137333 -12.24705576
43.70434045 -12.25594411
43.78867639 -12.30700042

44.47638635 -12.08158782
44.52671919 -12.2195639
44.52630578 -12.32353688
44.50501509 -12.35650644
44.46015995 -12.3351124
44.37747765 -12.2522234
44.22017459 -12.17140146
44.29231489 -12.16478688
44.33448286 -12.17305511
44.3791313 -12.1656137
44.40703657 -12.12013844
44.41261763 -12.09295664
44.45189172 -12.07135589
44.47638635 -12.08158782

43.46580204 -11.90128875
43.44678511 -11.91456959
43.35552453 -11.85751881
43.30333133 -11.84408294
43.22664351 -11.75189219
43.25599572 -11.43211842
43.28069706 -11.39119069
43.29899051 -11.37455088
43.34146854 -11.36845306
43.39293827 -11.40855397
43.37939904 -11.61412282
43.44771529 -11.7525123
43.4915369 -11.86206634
43.46580204 -11.90128875


# Djibouti
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
43.24597049 11.49981517
43.15941247 11.36571483
43.04866987 11.19432994
42.92273441 10.99930309
42.84413456 10.9979595
42.78294966 11.00927664
42.74124678 11.04237539
42.65499881 11.07834219
42.55774377 11.08077098
42.4651396 11.04707795
42.30809492 11.00522004
42.16624312 10.99157746
42.05214155 10.9683489
41.95747033 10.94103791
41.87220422 10.95581737
41.79820357 10.98046703
41.78208052 11.18779287
41.76466556 11.41289541
41.76652591 11.58911205
41.79267419 11.68605703
41.8156702 11.72378083
41.94961551 11.85788117
41.99586592 11.91237397
42.14908654 12.13414338
42.28034468 12.32426097
42.37847822 12.46642284
42.40860558 12.49437979
42.44994673 12.52135489
42.4794023 12.51360342
42.67008833 12.37658336
42.70367801 12.3803299
42.76744673 12.42285961
42.82532433 12.56936229
42.86589033 12.62279572
42.88330529 12.62127127
43.00567508 12.66232819
43.11672774 12.70860444
43.1308354 12.66046784
43.2985771 12.46389069
43.35345747 12.36704906
43.40978478 12.18995393
43.38032922 12.09125194
43.33671431 12.02701813
43.27201542 11.96955394
43.04804976 11.82904572
42.79907271 11.73938711
42.64001265 11.56012157
42.52177697 11.57216218
42.53976037 11.50431102
42.58378869 11.49676626
42.65272505 11.50955618
42.78977095 11.56172354
42.91152062 11.58663158
43.04277876 11.58849193
43.16173791 11.56601268
43.24597049 11.49981517


# Eritrea
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
40.14125044 15.69614818
40.18248823 15.64292145
40.21142704 15.64816661
40.23406131 15.66586579
40.25008101 15.70348623
40.40821089 15.62917552
40.39901249 15.57987621
40.30465132 15.57734406
40.19582075 15.59816966
40.09515506 15.59093496
39.97516239 15.61243236
39.94746382 15.69614818
40.02394494 15.65563386
40.06342573 15.66586579
40.07055708 15.67661449
40.01629683 15.73325186
39.93991906 15.74451732
39.94519006 15.7890624
39.97939986 15.80658072
40.00048384 15.82828482
39.95676558 15.88941804
40.04254846 15.8754654
40.09680871 15.83846507
40.13236209 15.79526358
40.14125044 15.69614818

40.0764482 16.08242951
40.11003788 15.98574291
40.01236942 16.02263988
39.99614302 16.04269033
40.03903446 16.08098257
40.04812951 16.10449535
40.0764482 16.08242951

38.60945764 18.00507701
38.91176476 17.42715363
39.03444461 17.08552074
39.14255171 16.72916006
39.22254683 16.19368887
39.29892459 15.92109569
39.42222456 15.78668529
39.5065605 15.53212718
39.57880415 15.52251537
39.63120405 15.45254548
39.72081099 15.21364533
39.78550988 15.12483938
39.81940962 15.20126883
39.81558556 15.24532298
39.79036747 15.31885855
39.81351851 15.41358145
39.863748 15.47032217
39.97836633 15.39311758
40.04099816 15.33451651
40.05784468 15.21710765
40.08409631 15.15194367
40.20408898 15.01412263
40.30527144 14.97402171
40.43652958 14.96394481
40.54629032 14.93361074
40.63434696 14.88301952
40.79929813 14.74302806
41.17643273 14.62029654
41.47967004 14.2438854
41.65816043 13.98307445
42.24510135 13.58764639
42.34649051 13.39809724
42.39930383 13.21257884
42.5228105 13.22146719
42.73447717 13.01858552
42.79617883 12.86427969
42.96950158 12.80836579
42.9990605 12.89952302
43.08287967 12.82459219
43.11672774 12.70860444
43.00567508 12.66232819
42.88330529 12.62127127
42.86589033 12.62279572
42.82532433 12.56936229
42.76744673 12.42285961
42.70367801 12.3803299
42.67008833 12.37658336
42.4794023 12.51360342
42.44994673 12.52135489
42.40860558 12.49437979
42.37847822 12.46642284
42.2899565 12.57024079
42.2250509 12.66196646
42.13430708 12.77141714
42.0465605 12.8206131
41.95209598 12.8823406
41.85959517 13.02589773
41.7650273 13.18392426
41.62498417 13.31324453
41.3628813 13.49979645
41.12232751 13.73613862
40.93856612 13.98310029
40.82017541 14.11167125
40.76958418 14.14448579
40.52437951 14.22517853
40.35307214 14.3380657
40.22145226 14.43116079
40.14063032 14.45606883
40.06208215 14.45911774
39.89506392 14.44066926
39.75615767 14.49903779
39.69791833 14.49901195
39.60490075 14.51606517
39.53188195 14.53670991
39.44609907 14.51185354
39.27014082 14.47030569
39.19800052 14.4793749
39.15862308 14.53751089
39.13542036 14.58190095
39.07423547 14.62820303
39.02379927 14.62820303
38.99568729 14.58686188
38.81202925 14.48232046
38.50439945 14.42439118
38.43143233 14.42860281
38.37691369 14.47040904
38.22147098 14.64964875
38.17708093 14.67879426
38.14204431 14.68148143
38.06995568 14.70272045
38.00256961 14.73711111
37.94345178 14.81054332
37.88423058 14.85229788
37.82025516 14.70848237
37.70842736 14.45723155
37.6484827 14.32253693
37.57117476 14.14905915
37.54678348 14.14386567
37.50725101 14.1563972
37.35372033 14.3724822
37.25724043 14.45374339
37.18520348 14.44599193
37.13264855 14.40607189
37.09947228 14.33395742
37.06350549 14.28925731
37.02454146 14.27199738
36.94072228 14.28057567
36.81194461 14.31501801
36.67913618 14.30757661
36.54240034 14.25822561
36.52431359 14.25685619
36.4922742 14.54433218
36.47082848 14.73646516
36.44814253 14.9400703
36.42674849 15.13209992
36.52178145 15.25015473
36.5659648 15.36208588
36.67918786 15.72637889
36.72450809 15.79888093
36.81349491 15.99395946
36.82589725 16.05028677
36.91374719 16.29618907
36.90547896 16.45953828
36.88780562 16.62464448
36.93576135 16.72233877
36.97865278 16.80057689
36.9757589 16.86654186
36.99518924 17.02053762
37.00903853 17.05888154
37.06149011 17.06125865
37.16949385 17.0414149
37.24886885 17.05686616
37.34038781 17.0570987
37.41102949 17.0616979
37.45293908 17.10867178
37.51019657 17.28814403
37.5474036 17.32411083
37.57598067 17.33501455
37.65675093 17.3682425
37.72599735 17.42051321
37.78237634 17.45800446
37.80330529 17.46552338
37.86299157 17.47025178
37.92252282 17.49231761
37.95006636 17.5176649
38.02530724 17.53776704
38.09889448 17.52647573
38.14850386 17.54854157
38.18157678 17.56285594
38.21904219 17.56396699
38.25351037 17.58474091
38.2672563 17.61670279
38.28989058 17.63703746
38.34735477 17.68357209
38.37370975 17.71734264
38.38549198 17.75126822
38.39717085 17.7783725
38.4224923 17.82389944
38.52279626 17.93854361
38.60945764 18.00507701


# Ethiopia
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
38.43143233 14.42860281
38.50439945 14.42439118
38.81202925 14.48232046
38.99568729 14.58686188
39.02379927 14.62820303
39.07423547 14.62820303
39.13542036 14.58190095
39.15862308 14.53751089
39.19800052 14.4793749
39.27014082 14.47030569
39.44609907 14.51185354
39.53188195 14.53670991
39.60490075 14.51606517
39.69791833 14.49901195
39.75615767 14.49903779
39.89506392 14.44066926
40.06208215 14.45911774
40.14063032 14.45606883
40.22145226 14.43116079
40.35307214 14.3380657
40.52437951 14.22517853
40.76958418 14.14448579
40.82017541 14.11167125
40.93856612 13.98310029
41.12232751 13.73613862
41.3628813 13.49979645
41.62498417 13.31324453
41.7650273 13.18392426
41.85959517 13.02589773
41.95209598 12.8823406
42.0465605 12.8206131
42.13430708 12.77141714
42.2250509 12.66196646
42.2899565 12.57024079
42.37847822 12.46642284
42.28034468 12.32426097
42.14908654 12.13414338
41.99586592 11.91237397
41.94961551 11.85788117
41.8156702 11.72378083
41.79267419 11.68605703
41.76652591 11.58911205
41.76466556 11.41289541
41.78208052 11.18779287
41.79820357 10.98046703
41.87220422 10.95581737
41.95747033 10.94103791
42.05214155 10.9683489
42.16624312 10.99157746
42.30809492 11.00522004
42.4651396 11.04707795
42.55774377 11.08077098
42.65499881 11.07834219
42.74124678 11.04237539
42.78294966 11.00927664
42.84413456 10.9979595
42.92273441 10.99930309
42.90614627 10.96026154
42.86294478 10.90321076
42.80971805 10.84600495
42.76310591 10.78693879
42.65954634 10.6213675
42.65644575 10.60002513
42.66926151 10.56757233
42.72517541 10.49173717
42.78367313 10.36962576
42.81643599 10.25738455
42.84165409 10.20307262
