# IPBES Western_Asia
# Bahrain
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
53.29776004 16.72332062
53.08567997 16.6483898
53.02501183 16.78021638
52.9643437 16.91204295
52.90367557 17.04386953
52.84300744 17.17569611
52.80058109 17.26793854
52.72916426 17.30039134
52.68591109 17.39795645
52.64167606 17.49784699
52.59738936 17.59773754
52.55310265 17.69762808
52.50886763 17.79751862
52.46458093 17.89740917
52.42029422 17.99729971
52.3760592 18.09719025
52.3317725 18.19705496
52.28748579 18.29691966
52.24325077 18.39681021
52.19896406 18.49670075
52.15467736 18.59659129
52.11044234 18.69648184
52.06615563 18.79637238
52.02186893 18.89626293
51.9776339 18.99615347
52.11860721 19.04315318
52.29063806 19.10048819
52.4626689 19.15779735
52.63469974 19.21513235
52.80673058 19.27246735
52.97876143 19.32980235
53.15079227 19.38713736
53.32282311 19.44447236
53.49485396 19.50180736
53.6668848 19.55914236
53.83891564 19.61647736
54.01094649 19.67381236
54.18297733 19.73114737
54.35500817 19.78848237
54.52703902 19.84581737
54.69901818 19.90315237
54.87104903 19.96048737
54.97739912 19.9959374
55.0215308 20.1292626
55.05816939 20.23995352
55.0947563 20.35064444
55.13139489 20.46133535
55.16803348 20.57202627
55.2046204 20.68271719
55.24125899 20.79340811
55.27789758 20.90409903
55.31448449 21.01481578
55.3510714 21.12553254
55.38771 21.23622346
55.42434859 21.34691437
55.4609355 21.45760529
55.49757409 21.56829621
55.53421268 21.67898713
55.57079959 21.78967805
55.60743819 21.90036896
55.64102787 22.00186148
55.57772424 22.09952993
55.49271651 22.23065888
55.40378137 22.36783397
55.3201689 22.4969217
55.25924238 22.59089529
55.18586185 22.70409252
55.1940784 22.84997508
55.19221805 22.92294221
55.19986616 23.03477001
55.27024946 23.18995433
55.35324182 23.38746166
55.41380659 23.51877147
55.46630985 23.63292471
55.50852949 23.7245987
55.53162886 23.81906322
55.51932987 23.88549327
55.49178633 23.90967784
55.46848026 23.94109711
55.54785526 23.99135244
55.69658003 24.02414114
55.77915897 24.01711315
55.89408736 24.04142691
55.98514123 24.06338939
55.99216922 24.09294831
55.96633101 24.1426352
55.92860721 24.21513723
55.79972619 24.22263032
55.76086551 24.24268077
55.80566898 24.34978018
55.80401533 24.38355073
55.78680708 24.42352245
55.76820357 24.49059846
55.777557 24.57733735
55.80396366 24.63624848
55.80417036 24.68360993
55.79156131 24.78130423
55.79569543 24.86809479
55.82287723 24.91127045
55.87067793 24.95142304
55.91584313 24.97178356
55.96307539 24.9702591
56.00064416 24.95320588
56.01666385 24.90773062
56.00632857 24.8764147
55.9797152 24.87207388
55.97036177 24.85894807
56.00839562 24.79822826
56.06389611 24.73874868
56.10652917 24.7486964
56.15443322 24.79551525
56.20471439 24.83331656
56.26786299 24.86672537
56.31359663 24.93129507
56.35297407 24.97330801
56.38795902 24.97917329

56.28181563 25.23554007
56.2402161 25.20882335
56.21055383 25.21326752
56.21649662 25.26670095
56.23427331 25.30383047
56.27731978 25.30085908
56.28775842 25.27858653
56.28181563 25.23554007

56.42976525 26.32717886
56.41777632 26.20816804
56.41643273 26.10874258
56.37364465 25.8045751
56.32930627 25.75196849
56.30718876 25.70933544
56.297887 25.65068268
56.27850834 25.62773835
56.24951786 25.62538707
56.18363041 25.64492076
56.1446147 25.69052521
56.15195275 25.74607738
56.15407149 25.84850007
56.17257165 25.94518667
56.16745568 26.04745433
56.11650272 26.06817658
56.08043257 26.0626472
56.16445845 26.20703115
56.19732466 26.22917451
56.22843387 26.21979523
56.30553511 26.23519481
56.34646284 26.3136138
56.37870894 26.35635021
56.41312544 26.35115672
56.42976525 26.32717886


# Qatar
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
51.26801314 24.60723216
51.17799279 24.58674246
51.0933468 24.56465078
51.02275679 24.56524506
50.96606774 24.57395254
50.92829227 24.59513988
50.85563521 24.67963085
50.80437219 24.7892624
50.83589481 24.85036978
50.84674686 24.88855866
50.77729374 25.17742992
50.75455611 25.39927684
50.76292769 25.4447521
50.80261519 25.49704865
50.86865767 25.61267467
50.90379764 25.72406322
51.00311974 25.98146353
51.10812626 26.08057893
51.26232873 26.15328767
51.38903934 26.0111258
51.54303511 25.90239859
51.57228397 25.78101065
51.52691206 25.68210196
51.48536421 25.52469554
51.51027225 25.45234854
51.51957401 25.38974254
51.56143192 25.28445181
51.60194624 25.14792268
51.60887088 25.05288972
51.58696008 24.96483308
51.53342329 24.8908841
51.42790002 24.66826203
51.39648075 24.64513683
51.26801314 24.60723216


# Saudi Arabia
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
41.98775272 16.71562084
42.06506066 16.71003978
42.03322798 16.74194998
42.02640669 16.75768545
42.05999637 16.80352245
42.17037723 16.70864452
42.16717329 16.59640331
42.15776818 16.57072012
42.1276925 16.59482718
42.10836551 16.6184433
42.10237105 16.64394562
42.0717786 16.67148916
41.96418827 16.65345409
41.89731896 16.68425324
41.80161421 16.77876944
41.77608605 16.84687897
41.81608361 16.86013398
41.85825158 16.89292268
41.88491662 16.94682119
41.86042199 17.00255423
41.91726607 16.99364004
41.94796187 16.93643423
41.95395633 16.80623546
