# IPBES Europe_and_Central_Asia
# Albania
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
20.06397464 42.54727407
20.10355879 42.52466564
20.18577599 42.42588614
20.24050134 42.33896638
20.3482467 42.30881318
20.40829471 42.27496511
20.48544763 42.2233662
20.52280969 42.17148306
20.57541629 42.01309479
20.58141076 41.91744172
20.56616621 41.87369762
20.55314375 41.86235464
20.50513635 41.70649852
20.51660851 41.62707185
20.5161951 41.5747753
20.47557743 41.55410472
20.44860233 41.52126435
20.49242394 41.39142731
20.48704959 41.33608185
20.48896162 41.2726232
20.56787153 41.12782583
20.61448368 41.08307404
20.65603153 41.06168
20.70930993 40.9283548
20.74078088 40.90525544
20.87017866 40.91791616
20.93348229 40.90313671
20.95854536 40.87151073
20.96428145 40.84990998
20.95575484 40.77528921
20.98789758 40.71777334
21.03109907 40.6586555
21.03089237 40.622482
21.00190189 40.56339
20.95017378 40.49440196
20.88165083 40.46791779
20.80609989 40.44543854
20.77002974 40.39190176
20.7516846 40.33490266
20.71788822 40.29268301
20.69701094 40.24638093
20.66497155 40.15176138
20.65737512 40.11739655
20.60626712 40.08266999
20.52704715 40.06851065
20.45604374 40.06556509
20.40803633 40.04944204
20.38369673 40.01717011
20.33842818 39.99104768
20.31114302 39.97942048
20.31134973 39.9507659
20.34426761 39.89064037
20.38162967 39.84180614
20.3824565 39.8026354
20.36405969 39.79173168
20.30618208 39.79669261
20.29383141 39.78222321
20.28757857 39.73855663
20.27207564 39.70119457
20.24820112 39.67837942
20.20685998 39.65349722
20.13110233 39.66161042
20.05978885 39.69912751
20.02258182 39.71070303
20.00129113 39.70941112
19.99560672 39.8010076
19.96480757 39.87224356
19.85184289 40.04357677
19.48452681 40.20994904
19.39812381 40.28487987
19.36019331 40.34769257
19.32226281 40.40709463
19.35864302 40.40874828
19.39450646 40.39371044
19.44049849 40.37567536
19.45920536 40.40538931
19.43925825 40.47024323
19.34458703 40.62206859
19.33745568 40.66382315
19.38386112 40.79074046
19.46127241 40.93331574
19.45610477 41.10604422
19.48008264 41.23637218
19.4534176 41.32101817
19.44060184 41.42475861
19.49734256 41.56270885
19.54581506 41.59684113
19.57568403 41.64040436
19.57754439 41.78747549
19.46830041 41.85612763
19.34241662 41.86907258
19.34546553 41.91886282
19.36112349 41.99774689
19.35213179 42.02402436
19.36143355 42.06911205
19.3308411 42.12928925
19.28071496 42.17256826
19.32898075 42.24925609
19.39957075 42.34191193
19.46509647 42.41536998
19.54457482 42.49195445
19.59743981 42.56543834
19.65443892 42.62858694
19.7033765 42.6479656
19.72781945 42.63452973
19.74073856 42.60690868
19.737793 42.52515656
19.75448449 42.49694123
19.78828088 42.4761673
19.85980106 42.48634756
19.93907271 42.50670808
20.04573286 42.54990957
20.06397464 42.54727407


# Bosnia and Herz.
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
19.00713993 44.86919953
19.0420732 44.87131826
19.1315251 44.89958527
19.23678999 44.91426138
19.31270267 44.8974407
19.34861779 44.88093008
19.35688602 44.85855419
19.33451013 44.7806778
19.29187707 44.69675528
19.22314741 44.6095513
19.15131717 44.52733409
19.1324036 44.4837967
19.12733931 44.41457612
19.11845096 44.35997997
19.12837284 44.33026602
19.15183394 44.30251577
19.231519 44.28055329
19.33890262 44.22582795
19.43021488 44.15451447
19.54715864 44.07348583
19.58374556 44.04346182
19.58369388 44.01108653
19.54953576 43.98713451
19.44938683 43.97801362
19.34520715 43.98509329
19.30531294 43.99336152
19.26810591 43.98346548
19.24505822 43.96501699
19.25725386 43.94331289
19.36401737 43.84476594
19.48814416 43.70356009
19.4950688 43.64286612
19.47997928 43.59516877
19.45124719 43.56204418
19.39962243 43.56757355
19.36029667 43.59346345
19.30076542 43.5918098
19.25446333 43.58436839
19.19436364 43.53331208
19.16433963 43.53543081
19.11276655 43.52775686
19.08005537 43.5177058
19.02832726 43.53251109
18.97417036 43.54235546
18.95070926 43.52667166
18.94021895 43.49672517
18.9738603 43.4423874
19.03669885 43.35730215
19.02667362 43.29244823
18.97866621 43.28542023
18.93468957 43.33944794
18.89562219 43.3482071
18.8510771 43.34634675
18.74922285 43.28353404
18.67424035 43.23082408
18.65687707 43.19392711
18.63000532 43.15364533
18.62184045 43.12460318
18.62359745 43.02768403
18.48846358 43.01215526
18.46014489 42.99789256
18.44386681 42.968437
18.45502892 42.8441035
18.466036 42.7772342
18.54329227 42.67419139
18.54592777 42.64158356
18.53492069 42.62013784
18.48004032 42.57918427
18.45394372 42.56448233
18.43637373 42.5597281
18.34661177 42.58665152
18.30397871 42.5994156
18.12388635 42.69057282
18.04451135 42.7412674
17.91883426 42.80741324
17.84126794 42.84505952
17.80199385 42.90223949
17.74024051 42.91546865
17.66758345 42.89712352
17.58510786 42.93836131
17.64345056 42.95975536
17.65776493 42.9800642
17.65053023 43.00657421
17.62479536 43.04274771
17.40222497 43.19891389
17.29303267 43.30562572
17.27525598 43.34386628
17.27380903 43.4457722
17.24807417 43.47021516
17.08462162 43.51656892
16.90189375 43.64901561
16.7134298 43.77882681
16.68769494 43.81505199
16.59049157 43.91318553
16.47204919 44.00258576
16.37753299 44.05963654
16.3001217 44.12449046
16.21423547 44.21513093
16.16984541 44.3520218
16.13031294 44.47371979
16.1034412 44.52100373
16.04907759 44.53759186
15.88004398 44.68194998
15.73664188 44.76579499
15.73798547 44.85640961
15.76149824 45.0075115
15.78811161 45.17894807
15.82288985 45.2027709
15.88826053 45.21574169
15.96319136 45.21080659
16.02835534 45.18959341
16.15728804 45.07223623
16.23103031 45.02660594
16.29340376 45.00882925
16.3650273 45.05833527
16.45349735 45.1619982
16.53070194 45.21672354
16.79078942 45.19685395
16.91868859 45.27656485
17.12539432 45.17176504
17.21066043 45.15605541
17.25871952 45.17057648
17.32414188 45.1639619
17.46914595 45.13331778
17.50263228 45.12034699
17.54624719 45.12256908
17.65347578 45.16349681
17.69011437 45.15838085
17.81279422 45.07810151
17.87439253 45.07724885
17.94859989 45.11187206
17.99629723 45.14181855
18.13721887 45.11936514
18.21793745 45.1329302
18.28496179 45.13429963
18.35756717 45.1205537
18.42391971 45.10200186
18.48830855 45.08585297
18.66256148 45.07745555
18.74607059 45.02650259
18.77940189 44.97722911
18.78017704 44.94720511
18.78834191 44.9148815
18.83640099 44.88325552
18.94130415 44.86516877
19.00713993 44.86919953


# Bulgaria
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
28.58531498 43.7422399
28.5618022 43.50132437
28.46537398 43.38928986
28.31964644 43.42685863
28.13371463 43.39559439
28.035116 43.26826366
27.97930545 43.23053986
27.92886926 43.18614981
27.89651981 43.02068187
27.8888717 42.74969066
27.81838504 42.71666942
27.75368615 42.70654084
27.484762 42.4680541
27.63958459 42.4009781
27.70821089 42.34994762
27.82138228 42.2080183
27.9827161 42.04740795
28.01444543 41.96906647
27.8792082 41.98663646
27.83192427 41.98128795
27.80164188 41.95653494
27.73890669 41.96152171
27.66118534 41.96131501
27.57984663 41.93289297
27.53483646 41.92077485
27.47484012 41.94689728
27.36290897 42.02503205
27.29490278 42.07955069
27.24436323 42.09324494
27.1933586 42.07709606
27.01171594 42.05864757
26.96872114 42.02684073
26.88485029 41.99185578
26.80035933 41.97516429
26.67922977 41.96333039
26.6153577 41.96488068
26.57970096 41.94795665
26.54972863 41.89671947
26.52931644 41.84667084
26.51143639 41.82636201
26.36038618 41.80158316
26.32720991 41.77279938
26.31801151 41.7446874
26.32090539 41.71657543
26.20060265 41.74378307
26.10737837 41.72567048
26.08557092 41.70417308
26.06598555 41.6732189
26.07699263 41.64019766
26.11120243 41.60820995
26.14360355 41.52154857
26.15517907 41.43488719
26.13533532 41.38574291
26.06634728 41.35068045
25.92330692 41.31189728
25.78491743 41.33042329
25.72393924 41.31504955
25.62151655 41.31008861
25.52705204 41.299805
25.38194461 41.26435497
25.25115156 41.24352936
25.13338098 41.31577302
24.99354455 41.36496898
24.84688683 41.39421784
24.79583052 41.37290131
24.77371301 41.35608063
24.65103316 41.4199527
24.59599776 41.44274201
24.56928104 41.46739167
24.51822473 41.55255443
24.48794234 41.5552416
24.38675988 41.52353811
24.28940148 41.52503673
24.230387 41.53079865
24.05603071 41.52723298
24.03287967 41.46909699
24.01138228 41.46005362
23.97350345 41.45230215
23.88089929 41.45594534
23.76230187 41.41297639
23.63517785 41.38677643
23.53580407 41.38605296
23.43343306 41.39871369
23.37204146 41.38964448
23.23985314 41.38496776
23.15598229 41.32207754
23.02560265 41.32564322
22.91599694 41.33628856
22.9296912 41.35608063
22.95149865 41.60562613
23.00565555 41.716963
23.00364017 41.73982982
22.9919613 41.7571931
22.94395389 41.77509899
22.90917565 41.83519868
22.83677697 41.99361278
22.79605594 42.02570384
22.68231612 42.0591385
22.58273563 42.10482046
22.49824466 42.16510102
22.34404219 42.31395498
22.4220736 42.32886363
22.44568973 42.35912018
22.52351444 42.44097565
22.53240278 42.48117992
22.52423791 42.50389171
22.47204471 42.54329499
22.43623294 42.62910371
22.46325972 42.7094864
22.46563683 42.75077587
22.43923018 42.79165192
22.46677372 42.84250153
22.52279097 42.87030345
22.55808597 42.87846833
22.70619063 42.88392019
22.79988 42.9857486
22.8568791 43.01825308
22.9152218 43.07597565
22.94230025 43.09705964
22.96798343 43.14201813
22.9768201 43.18801016
22.85961795 43.25234732
22.81967207 43.30071646
22.76753055 43.35414989
22.69694055 43.39104686
22.55462365 43.45450552
22.49912316 43.51884268
22.47411177 43.60224844
22.43628462 43.66550039
22.39484012 43.70663483
22.38688195 43.74012116
22.36962202 43.78128144
22.36538456 43.86210338
22.39907759 43.96953868
22.42083337 44.00744335
22.46904748 44.01803701
22.59741174 44.0752945
22.6034062 44.14857168
22.62655724 44.19409862
22.66748498 44.22019522
22.70510542 44.23779104
22.77517866 44.1952355
22.94540083 44.12728099
23.02849653 44.07798168
23.02446577 44.0472342
22.98539839 44.01700349
22.91129439 43.98718618
22.86829959 43.94788626
22.85641402 43.89902619
22.86767948 43.86455801
22.91904585 43.83445649
23.2246086 43.87388561
23.53456384 43.85357677
23.95076582 43.78665579
24.22676965 43.76347891
24.4305815 43.79438142
24.80818119 43.73841584
25.1596326 43.686326
25.49707971 43.67079723
25.68611209 43.7117508
25.81881717 43.76683788
25.9334355 43.87055248
26.21579553 44.00728832
26.48921553 44.08397614
26.84774662 44.14619457
27.08690514 44.16740774
27.12064986 44.14614289
27.4253341 44.02051748
27.56103641 44.0200524
27.67090051 43.99777985
27.71079471 43.96460358
27.73859663 43.95630952
27.8842725 43.98734121
27.94891971 43.91861156
28.04999881 43.82239004
28.22197798 43.77283234
28.3751986 43.74479788
28.42346439 43.7404829
28.58531498 43.7422399


# Croatia
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
17.60784549 42.76901765
17.74427127 42.70033967
17.34419234 42.79036001
17.38956424 42.79862824
17.43193892 42.80038524
17.60784549 42.76901765

16.65069461 42.99660065
16.83559289 42.9686437
16.97108849 42.98151114
17.09366499 42.96435456
17.16983605 42.93259939
17.18823286 42.91704479
17.08932417 42.91487438
16.97749637 42.92779348
16.85068241 42.89552155
16.73885461 42.9127298
16.69637658 42.93371044
16.6663009 42.95991039
16.65069461 42.99660065

17.21985884 43.02590119
17.7236007 42.85066641
17.66758345 42.89712352
17.74024051 42.91546865
17.80199385 42.90223949
17.84126794 42.84505952
17.91883426 42.80741324
18.04451135 42.7412674
18.12388635 42.69057282
18.30397871 42.5994156
18.34661177 42.58665152
18.43637373 42.5597281
18.43807905 42.52296031
18.47668135 42.4811024
18.51745405 42.43291413
18.33296919 42.52786957
18.16067997 42.63401297
17.82385298 42.79741385
17.58500451 42.83715302
17.25820275 42.968437
17.0453992 43.01489411
17.12642785 43.02559113
17.21985884 43.02590119

17.19402062 43.12579173
17.12415409 43.11540477
16.67922 43.12315624
16.54982222 43.14387849
16.40585168 43.19736359
16.37649946 43.21374502
16.52140018 43.22924795
16.65596561 43.21374502
16.69730676 43.17493602
17.06110884 43.14387849
17.19402062 43.12579173

16.78526004 43.27064077
16.62744022 43.26808279
16.49029097 43.28616954
16.42311161 43.31722708
16.4281759 43.34340119
16.44894982 43.38706778
16.601602 43.38190013
16.83435265 43.3508426
16.89130008 43.31464326
16.87362674 43.29792593
16.78526004 43.27064077

15.37139286 43.97385366
15.43722863 43.89951712
15.37418338 43.9147875
15.30855431 43.96077953
15.2700037 44.01075064
15.37139286 43.97385366

15.23103967 44.06232372
15.24664595 44.02705455
15.12189904 44.09330374
15.07456343 44.13782298
15.06577844 44.15766673
15.23103967 44.06232372

15.18876834 43.9223581
15.20303104 43.90770783
15.20168745 43.89773428
15.14980431 43.91181611
15.13585168 43.90729442
14.8913188 44.12552399
14.86506717 44.16795034
14.9525037 44.11720409
15.18876834 43.9223581

15.18845829 44.33571788
15.16262007 44.30918203
15.09792118 44.35814545
15.03859663 44.39300121
14.99611861 44.43434235
14.9128162 44.48586376
14.88470422 44.54472321
14.76047407 44.66476756
14.74187056 44.69737539
14.80377892 44.64869619
14.855352 44.61825878
14.89803674 44.61081737
15.00645389 44.53420706
15.1130107 44.43573762
15.23992801 44.35021312
15.21357303 44.34757762
15.18845829 44.33571788

14.83147749 44.75892202
14.85659224 44.71484203
14.76254113 44.75465872
14.67820519 44.76987743
14.66032515 44.79979808
14.67241743 44.82434439
14.69050418 44.84816722
14.75416955 44.84480825
14.76378137 44.82139883
14.83147749 44.75892202

14.48813928 44.66006501
14.48038781 44.62125601
14.41951297 44.67032278
14.38892053 44.75830191
14.31243941 44.9004121
14.30251753 44.94040965
14.34220503 44.97994213
14.34003462 45.01999136
14.28587772 45.14463491
14.33124963 45.16499543
14.35822473 45.16742422
14.36918013 45.08096955
14.39377811 45.03125682
14.46736535 44.97020112
14.45258589 44.86919953
14.46757206 44.72535818
14.48255822 44.69334463
14.48813928 44.66006501

14.81029015 44.97704824
14.68699019 44.95562836
14.62828576 44.99394644
14.61298954 45.02544322
14.51170373 45.03539094
14.45041548 45.07921255
14.43790978 45.09864289
14.52462284 45.14680532
14.57113163 45.22473338
14.62993941 45.17801789
14.70114953 45.0900646
14.73918338 45.06549246
14.81029015 44.97704824

