# IPBES Western_Europe
# Andorra
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
1.70602542 42.50329743
1.67848189 42.49665701
1.58639448 42.45596182
1.53404626 42.44169912
1.48619388 42.43446442
1.44883182 42.43743582
1.42816125 42.46131033
1.43027998 42.49787141
1.42196008 42.53081513
1.41482873 42.54841096
1.42831628 42.5959016
1.45885705 42.62168814
1.50133508 42.64272045
1.5681527 42.63499482
1.70990116 42.60442821
1.73946008 42.57592866
1.74018355 42.55673086
1.71393192 42.52562165
1.70602542 42.50329743


# Austria
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
16.9531051 48.59884268
16.94886763 48.58855907
16.94338993 48.55093863
16.90447757 48.5035255
16.86267134 48.44141043
16.86546187 48.38691763
16.97263879 48.19809195
17.06787845 48.08326691
17.0859652 48.03957449
17.14735681 48.00595897
17.08906579 47.96363597
17.07774865 47.90090078
17.0399215 47.87294383
17.03010298 47.83713207
17.04586429 47.80452424
17.04560591 47.76375153
17.06663822 47.70755341
16.97341393 47.69533194
16.86267134 47.6972698
16.82308719 47.69398835
16.78598351 47.67864045
16.74758792 47.68626272
16.64749068 47.73899852
16.59095666 47.7505482
16.55101078 47.7473701
16.5211418 47.72447744
16.4696204 47.69507355
16.42130293 47.67445466
16.43210331 47.65631623
16.63973921 47.60887726
16.67653283 47.5360135
16.63663862 47.47661144
16.62299605 47.44756928
16.5744202 47.42465078
16.5147856 47.40454865
16.44290368 47.39953604
16.43432539 47.36744497
16.4625924 47.27313548
16.43975142 47.25274913
16.41685876 47.22342276
16.43835615 47.14590811
16.48284956 47.14037873
16.49266808 47.12267955
16.48481327 47.09126028
16.47695845 47.05785147
16.46124881 47.02247895
16.453394 47.00676931
16.42388675 46.99695079
16.33185103 47.00219595
16.25257938 46.97191356
16.09305423 46.8632897
16.03719201 46.84484121
15.97683394 46.80138133
15.98045129 46.70585745
15.97228641 46.69720165
15.95766198 46.67761628
15.76692427 46.71125764
15.76025801 46.71076671
15.6326689 46.69844188
15.54533573 46.65462027
15.43929569 46.62966055
15.21703535 46.64299307
15.00066613 46.62599152
14.94945479 46.61322744
14.8932825 46.60591523
14.84057254 46.58049042
14.81060021 46.54460114
14.75675337 46.49912588
14.6801689 46.46344331
14.59696984 46.43608063
14.57712609 46.41292959
14.54984094 46.39970043
14.50353885 46.41706371
14.46591841 46.41610769
14.41992639 46.42791576
14.2672742 46.44073151
14.0995325 46.46191885
14.01964074 46.48217601
13.92879357 46.49819571
13.8313835 46.51121817
13.74399865 46.51431875
13.69997033 46.52026154
13.49006066 46.55555655
13.35156782 46.55793366
13.16873661 46.57266144
12.80555464 46.62588817
12.69982466 46.64743724
12.59864221 46.6541035
12.47916629 46.67250031
12.38831913 46.70265351
12.33013146 46.75983348
12.26801639 46.83587535
12.15412153 46.93527497
12.13076379 46.98478099
12.16549035 47.0281892
12.20125044 47.06090038
12.197168 47.0749822
12.16941776 47.08213939
11.96948164 47.03971304
11.77564334 46.9860729
11.69936893 46.98467764
11.62552331 46.99656322
11.52754479 46.99741588
11.43318363 46.98307567
11.24440962 46.97568594
11.13392541 46.93617931
11.06349043 46.85912975
11.02509484 46.79698884
10.99326216 46.77699006
10.92732303 46.76949698
10.82893111 46.77523306
10.75978804 46.79331981
10.68930139 46.84639151
10.57974735 46.85372956
10.47939172 46.85512482
10.45283003 46.86494335
10.45458703 46.89943736
10.41489953 46.96439464
10.34942549 46.98478099
10.17977176 46.86233369
10.13346968 46.85150747
9.99688887 46.8853297
9.87772302 46.93767792
9.86464888 46.97597016
9.84532189 47.00736359
9.74501794 47.03712922
9.61996097 47.05748973
9.5802218 47.05738638
9.59572472 47.07583487
9.61050418 47.10715078
9.60120243 47.13205882
9.57185021 47.15792288
9.55577884 47.18549226
9.55107629 47.21223481
9.54213626 47.23414562
9.53681359 47.25463532
9.52751183 47.27075837
9.60905724 47.39178457
9.62590376 47.46702546
9.55438358 47.51115713
9.52399784 47.52420543
9.54890588 47.53404979
9.6506051 47.52588491
9.71509728 47.55076712
9.74889367 47.57554597
9.8391724 47.55229157
9.97161909 47.50531769
10.0340959 47.47358837
10.05983076 47.44909374
10.07424849 47.42852652
10.06634199 47.39333487
10.09646935 47.37958893
10.15879113 47.37426626
10.20028731 47.36341421
10.18576623 47.3171638
10.18302738 47.27881989
10.24059492 47.28414256
10.3127869 47.3134431
10.36911421 47.36604971
10.40394413 47.41697683
10.43035078 47.54105195
10.43944584 47.5515681
10.48285404 47.54180126
10.65870894 47.54722728
10.74159793 47.52410208
10.87306278 47.52020051
10.87058231 47.50077017
10.89394006 47.4704361
10.95212772 47.42671784
10.98085982 47.39816661
11.04194136 47.39310232
11.13604414 47.40886363
11.1911829 47.42519339
11.21195682 47.4136437
11.2979464 47.42490917
11.37411747 47.46025585
11.39292769 47.48717927
11.46992557 47.50609284
11.57389855 47.54973359
11.71683556 47.5834783
12.18564416 47.61952261
12.20383426 47.64673025
12.19690962 47.70907787
12.20931196 47.71827627
12.26832645 47.7027475
12.36320438 47.68820059
12.43575809 47.66610891
12.482887 47.6372993
12.52660526 47.63613658
12.59419803 47.65629039
12.68587202 47.66931285
12.77139652 47.6393922
12.79614953 47.60701691
12.78116336 47.59045462
12.78281701 47.56417715
12.8093787 47.54216299
12.87893517 47.50645458
12.96802534 47.47568126
